Group,Start Task 1,End Task 1,Start Task 2,End Task 2
1,0:00,1:37,2:39,7:40
2,0:15,2:15,3:12,8:18
3,0:00,0:35,1:33,6:33
4,0:16,1:32,2:35,7:35
5,0:00,0:59,1:44,6:44
6,0:00,1:33,2:14,7:14
7,0:02,2:02,2:57,7:57
8,0:09,1:51,2:46,7:47
9,0:05,0:56,1:47,6:47
10,0:06,1:17,2:03,7:03
11,0:11,2:22,3:14,8:14
12,0:00,1:03,1:43,6:44
13,0:10,1:23,2:07,7:08
14,0:16,1:45,2:34,7:36
15,0:00,2:01,2:56,7:56
16,0:06,1:15,1:59,7:00
