ID,"Decoded Confusion Timestamps (deciseconds, 0-3 rating)"
I5,"[(0, 0), (392, 1), (458, 0), (862, 1), (928, 0), (1054, 1), (1094, 2), (1140, 1), (1234, 2), (1307, 1), (1415, 2), (1517, 1), (1649, 2), (1868, 3), (2138, 2), (2179, 0), (2435, 1), (2567, 0), (3225, 1), (3260, 2), (3269, 1), (3286, 0), (3527, 1), (3722, 0), (3812, 1), (3979, 0)]"
I6,"[(0, 0), (89, 1), (96, 2), (168, 1), (234, 2), (259, 1), (364, 0), (515, 1), (526, 0), (1365, 1), (1379, 2), (1422, 3), (1443, 1), (1478, 0), (1776, 1), (1795, 0), (1916, 1), (2091, 2), (2118, 0), (2175, 1), (2407, 2), (2418, 1), (2434, 2), (2478, 3), (2540, 2), (2546, 1), (2587, 0), (2636, 1), (2724, 2), (2742, 1), (2857, 2), (2865, 1), (2933, 2), (2947, 1), (2953, 0), (3007, 1), (3258, 0), (3814, 1), (3828, 2), (3876, 3), (3947, 1), (3952, 2), (3960, 3), (4007, 2), (4059, 3), (4121, 0), (4187, 1), (4245, 2)]"
I7,"[(0, 0), (58, 1), (142, 2), (318, 1), (519, 2), (570, 3), (673, 2), (876, 3), (1140, 1), (1267, 3), (1423, 0), (2182, 1), (2553, 0), (2640, 1), (2666, 2), (2821, 1), (2977, 0), (3195, 1), (3241, 2), (3422, 3), (3993, 2), (4097, 3), (4350, 2), (4443, 3)]"
I8,"[(0, 0), (299, 1), (432, 2), (3237, 1), (3719, 2)]"
I9,"[(0, 0), (124, 1), (157, 0), (259, 1), (288, 0), (360, 0), (448, 1), (464, 0), (499, 0), (556, 1), (561, 0), (1095, 1), (1136, 0), (1223, 1), (1516, 2), (1596, 3), (2215, 2), (2226, 3), (2444, 3), (3034, 1), (3316, 0), (3648, 1), (3663, 0), (3804, 1), (3823, 0), (3949, 1), (3955, 0), (4008, 1), (4014, 0)]"
I10,"[(0, 0), (1340, 1), (1491, 0), (1555, 1), (1655, 0), (1903, 1), (1977, 0), (2623, 1), (2693, 0), (2755, 2), (2762, 1), (3032, 2), (3278, 0), (3325, 2), (3461, 0), (3948, 1), (3983, 0), (4128, 1), (4143, 0)]"
I11,"[(0, 0), (186, 1), (403, 2), (519, 1), (963, 0), (998, 1), (1275, 0), (1377, 1), (1391, 2), (1544, 0), (2549, 1), (2847, 0), (2887, 1), (3078, 0), (4240, 1), (4341, 0), (4566, 1)]"
I12,"[(0, 0), (390, 1), (425, 0), (1222, 1), (1398, 2), (1688, 1), (1738, 3), (2063, 1), (2095, 0), (2172, 1), (2274, 0), (2303, 2), (2560, 0), (2672, 1), (2763, 2), (2779, 3), (3170, 2), (3215, 1), (3247, 2), (3327, 3), (3585, 2), (3836, 3)]"
I13,"[(0, 0), (59, 3), (150, 1), (321, 2), (563, 0), (954, 1), (1194, 0), (1348, 1), (1404, 3), (1684, 2), (1753, 3), (2201, 1), (2553, 0), (3319, 1), (3355, 0), (3574, 2), (3595, 2), (3603, 0), (3664, 2), (3770, 0)]"
I14,"[(0, 0), (546, 1), (715, 0), (1647, 1), (1710, 0), (2671, 1), (2726, 0), (3751, 1), (3778, 0), (3851, 1), (3902, 0), (4237, 1), (4396, 0)]"
I15,"[(0, 0), (167, 1), (267, 2), (314, 1), (365, 0), (419, 1), (602, 0), (1064, 1), (1127, 2), (1180, 1), (1212, 0), (1271, 1), (1345, 0), (1898, 1), (1924, 0), (1974, 1), (2120, 0), (2536, 1), (2642, 2), (2780, 1), (2957, 2), (3067, 1), (3207, 2), (3263, 1), (3322, 0), (3652, 1), (3798, 0), (4126, 1), (4239, 0), (4602, 1), (4647, 0)]"
I16,"[(0, 0), (1216, 1), (1930, 2), (2288, 1), (2345, 3), (2420, 2), (2633, 1), (2684, 2), (2782, 1), (3801, 2), (4086, 0), (4169, 1)]"
